                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68819,                0.58013,                      1,                0.93091,               0.070385,              0.0032906,              0.0032906
                      2,                0.67157,                0.76362,                      1,                0.85342,               0.040383,              0.0066223,              0.0066223
                      3,                0.65211,                0.38462,                      1,                 1.1499,               0.010375,              0.0099475,              0.0099475
                      4,                0.71134,                0.79487,                      1,                0.80513,               0.009978,               0.009978,               0.009978
                      5,                0.59447,                0.57772,                      1,                0.93672,               0.009961,               0.009961,               0.009961
                      6,                0.57304,                0.61779,                      1,                0.90776,              0.0099391,              0.0099391,              0.0099391
                      7,                0.49698,                0.83654,                      1,                0.71987,              0.0099123,              0.0099123,              0.0099123
                      8,                 0.4722,                0.79968,                      1,                0.75664,              0.0098808,              0.0098808,              0.0098808
                      9,                0.44095,                0.60817,                      1,                0.90581,              0.0098445,              0.0098445,              0.0098445
                     10,                0.41185,                0.80128,                      1,                0.84604,              0.0098035,              0.0098035,              0.0098035
                     11,                0.39565,                0.94311,                      1,                0.65786,              0.0097577,              0.0097577,              0.0097577
                     12,                0.37642,                0.94311,                      1,                0.62808,              0.0097074,              0.0097074,              0.0097074
                     13,                0.35097,                0.86779,                      1,                 0.7189,              0.0096524,              0.0096524,              0.0096524
                     14,                0.32776,                0.95272,                      1,                0.61011,              0.0095929,              0.0095929,              0.0095929
                     15,                0.33662,                0.86939,                      1,                0.69053,              0.0095289,              0.0095289,              0.0095289
                     16,                0.33096,                0.90705,                      1,                0.65029,              0.0094605,              0.0094605,              0.0094605
                     17,                0.30272,                0.85096,                      1,                0.70283,              0.0093877,              0.0093877,              0.0093877
                     18,                0.28049,                 0.8758,                      1,                0.70835,              0.0093107,              0.0093107,              0.0093107
                     19,                0.24837,                0.93029,                      1,                0.65088,              0.0092294,              0.0092294,              0.0092294
                     20,                0.26973,                0.94631,                      1,                0.62515,               0.009144,               0.009144,               0.009144
                     21,                0.27446,                0.95032,                      1,                0.61445,              0.0090546,              0.0090546,              0.0090546
                     22,                0.24325,                0.95353,                      1,                0.63135,              0.0089613,              0.0089613,              0.0089613
                     23,                0.23988,                0.97756,                      1,                0.58721,               0.008864,               0.008864,               0.008864
                     24,                0.23367,                0.91106,                      1,                0.67476,               0.008763,               0.008763,               0.008763
                     25,                0.20334,                0.96314,                      1,                0.60034,              0.0086584,              0.0086584,              0.0086584
                     26,                0.20608,                0.98317,                      1,                0.58926,              0.0085502,              0.0085502,              0.0085502
                     27,                0.22512,                0.96394,                      1,                0.60312,              0.0084385,              0.0084385,              0.0084385
                     28,                0.18113,                0.96795,                      1,                0.59146,              0.0083235,              0.0083235,              0.0083235
                     29,                 0.2115,                0.98638,                      1,                0.57676,              0.0082052,              0.0082052,              0.0082052
                     30,                0.20276,                0.97676,                      1,                 0.5812,              0.0080839,              0.0080839,              0.0080839
                     31,                0.18745,                0.98237,                      1,                0.57852,              0.0079595,              0.0079595,              0.0079595
                     32,                0.16954,                0.96554,                      1,                0.60547,              0.0078323,              0.0078323,              0.0078323
                     33,                0.16441,                0.98077,                      1,                 0.5791,              0.0077023,              0.0077023,              0.0077023
                     34,                0.15111,                0.98397,                      1,                0.57588,              0.0075698,              0.0075698,              0.0075698
                     35,                0.15791,                0.97596,                      1,                0.58364,              0.0074347,              0.0074347,              0.0074347
                     36,                0.16631,                0.98958,                      1,                0.57109,              0.0072973,              0.0072973,              0.0072973
                     37,                0.15779,                0.97837,                      1,                0.57744,              0.0071576,              0.0071576,              0.0071576
                     38,                0.13815,                0.97756,                      1,                0.58452,              0.0070159,              0.0070159,              0.0070159
                     39,                0.14731,                0.98958,                      1,                 0.5728,              0.0068722,              0.0068722,              0.0068722
                     40,                0.15596,                0.98317,                      1,                0.57812,              0.0067268,              0.0067268,              0.0067268
                     41,                0.14203,                0.94792,                      1,                0.61519,              0.0065796,              0.0065796,              0.0065796
                     42,                0.15244,                0.97837,                      1,                0.57642,               0.006431,               0.006431,               0.006431
                     43,                0.12443,                0.97436,                      1,                  0.577,               0.006281,               0.006281,               0.006281
                     44,                0.14026,                0.97997,                      1,                0.57856,              0.0061298,              0.0061298,              0.0061298
                     45,                0.13508,                0.99119,                      1,                0.56318,              0.0059775,              0.0059775,              0.0059775
                     46,                0.11649,                0.98798,                      1,                0.56953,              0.0058244,              0.0058244,              0.0058244
                     47,                0.11049,                0.99519,                      1,                0.56016,              0.0056704,              0.0056704,              0.0056704
                     48,                0.11226,                0.99359,                      1,                0.56367,              0.0055158,              0.0055158,              0.0055158
                     49,                0.11964,                0.99038,                      1,                0.56636,              0.0053608,              0.0053608,              0.0053608
                     50,                0.11319,                0.97917,                      1,                0.57944,              0.0052055,              0.0052055,              0.0052055
                     51,                0.10677,                0.99199,                      1,                0.56392,                0.00505,                0.00505,                0.00505
                     52,                0.11181,                0.99439,                      1,                0.56152,              0.0048945,              0.0048945,              0.0048945
                     53,                0.10211,                0.99199,                      1,                0.56265,              0.0047392,              0.0047392,              0.0047392
                     54,                0.09108,                0.98157,                      1,                0.57236,              0.0045842,              0.0045842,              0.0045842
                     55,                0.09652,                0.99359,                      1,                0.56079,              0.0044296,              0.0044296,              0.0044296
                     56,                0.09415,                0.99679,                      1,                0.55737,              0.0042756,              0.0042756,              0.0042756
                     57,                0.09243,                0.99199,                      1,                0.56172,              0.0041225,              0.0041225,              0.0041225
                     58,                0.09114,                 0.9976,                      1,                0.55659,              0.0039702,              0.0039702,              0.0039702
                     59,                0.08745,                0.99519,                      1,                0.55728,               0.003819,               0.003819,               0.003819
                     60,                0.06898,                0.99679,                      1,                0.55786,               0.003669,               0.003669,               0.003669
                     61,                0.07844,                0.99599,                      1,                0.55737,              0.0035204,              0.0035204,              0.0035204
                     62,                0.09313,                 0.9992,                      1,                0.55684,              0.0033732,              0.0033732,              0.0033732
                     63,                0.07509,                 0.9984,                      1,                0.55654,              0.0032278,              0.0032278,              0.0032278
                     64,                0.07019,                0.99679,                      1,                0.55752,              0.0030841,              0.0030841,              0.0030841
                     65,                0.08144,                0.99679,                      1,                0.55645,              0.0029424,              0.0029424,              0.0029424
                     66,                0.07363,                 0.9984,                      1,                0.55552,              0.0028027,              0.0028027,              0.0028027
                     67,                0.05752,                0.99679,                      1,                0.55542,              0.0026653,              0.0026653,              0.0026653
                     68,                0.05755,                 0.9976,                      1,                0.55503,              0.0025302,              0.0025302,              0.0025302
                     69,                0.06914,                 0.9992,                      1,                  0.554,              0.0023977,              0.0023977,              0.0023977
                     70,                0.06462,                 0.9976,                      1,                0.55527,              0.0022677,              0.0022677,              0.0022677
                     71,                0.05033,                 0.9992,                      1,                  0.554,              0.0021405,              0.0021405,              0.0021405
                     72,                0.04985,                 0.9984,                      1,                0.55439,              0.0020161,              0.0020161,              0.0020161
                     73,                0.04873,                 0.9976,                      1,                0.55444,              0.0018948,              0.0018948,              0.0018948
                     74,                0.04035,                      1,                      1,                0.55259,              0.0017765,              0.0017765,              0.0017765
                     75,                0.04568,                 0.9984,                      1,                0.55361,              0.0016615,              0.0016615,              0.0016615
                     76,                 0.0444,                 0.9984,                      1,                0.55435,              0.0015498,              0.0015498,              0.0015498
                     77,                0.04185,                 0.9992,                      1,                0.55371,              0.0014416,              0.0014416,              0.0014416
                     78,                0.05266,                 0.9992,                      1,                0.55347,               0.001337,               0.001337,               0.001337
                     79,                0.04455,                 0.9992,                      1,                0.55361,               0.001236,               0.001236,               0.001236
                     80,                 0.0398,                      1,                      1,                0.55322,              0.0011387,              0.0011387,              0.0011387
                     81,                0.03255,                      1,                      1,                0.55283,              0.0010454,              0.0010454,              0.0010454
                     82,                0.03318,                 0.9984,                      1,                0.55283,             0.00095595,             0.00095595,             0.00095595
                     83,                0.03643,                      1,                      1,                0.55254,             0.00087058,             0.00087058,             0.00087058
                     84,                0.03149,                      1,                      1,                0.55249,             0.00078933,             0.00078933,             0.00078933
                     85,                0.03876,                      1,                      1,                0.55239,             0.00071228,             0.00071228,             0.00071228
                     86,                0.03805,                      1,                      1,                0.55244,             0.00063952,             0.00063952,             0.00063952
                     87,                0.03371,                      1,                      1,                0.55244,             0.00057111,             0.00057111,             0.00057111
                     88,                0.02936,                      1,                      1,                0.55244,             0.00050711,             0.00050711,             0.00050711
                     89,                0.03242,                      1,                      1,                0.55249,             0.00044761,             0.00044761,             0.00044761
                     90,                0.02587,                      1,                      1,                 0.5522,             0.00039264,             0.00039264,             0.00039264
                     91,                0.03102,                      1,                      1,                0.55215,             0.00034227,             0.00034227,             0.00034227
                     92,                0.03261,                      1,                      1,                 0.5521,             0.00029655,             0.00029655,             0.00029655
                     93,                0.03335,                      1,                      1,                0.55205,             0.00025551,             0.00025551,             0.00025551
                     94,                0.02831,                      1,                      1,                  0.552,             0.00021921,             0.00021921,             0.00021921
                     95,                0.03079,                      1,                      1,                0.55234,             0.00018768,             0.00018768,             0.00018768
                     96,                0.02492,                      1,                      1,                0.55225,             0.00016094,             0.00016094,             0.00016094
                     97,                0.02741,                      1,                      1,                 0.5521,             0.00013903,             0.00013903,             0.00013903
                     98,                0.02621,                      1,                      1,                 0.5522,             0.00012197,             0.00012197,             0.00012197
                     99,                0.02593,                      1,                      1,                0.55225,             0.00010977,             0.00010977,             0.00010977
                    100,                0.02544,                      1,                      1,                0.55229,             0.00010244,             0.00010244,             0.00010244
